path,year,wordcount,importance,pride,n_tags,tags
2017-12-01-why-no-philosopher.markdown,2017,4647,4,7,3,long-content;philosophy;becoming
2017-12-31-mogopaedia.markdown,2017,5154,2,,3,music;art;lists
2018-01-31-human-ceiling.markdown,2018,235,7,4,3,ai;forecasting;argument
2018-02-14-frege.markdown,2018,4061,4,5,3,philosophy;maths;greats
2018-02-14-great-flu.markdown,2018,3595,8,6,4,review;xrisk;epistemology;biorisk
2018-02-14-virtue-epistemology.markdown,2018,2330,5,,3,epistemology;virtue ethics;philosophy of science
2018-02-16-behaving.markdown,2018,991,,3,1,fiction
2018-02-25-ai-safety-notes.markdown,2018,1029,9,,1,ai
2018-02-28-turing-and-searle.markdown,2009,1602,6,,3,ai;philosophy;argument
2018-03-01-Russell's-anti-scepticism.markdown,2018,3697,1,,3,philosophy;ethics-of-belief;epistemology
2018-03-01-gridworlds-notes.markdown,2018,965,8,,4,ai;technical;concrete;reinforcement learning
2018-03-30-rare-quality.markdown,2018,1250,8,,6,meaning;philosophy;transhumanism;suffering;biology;hypothesis-dump
2018-04-02-social-extended-mind.markdown,2018,500,,,0,
2018-04-20-patrick-melrose.markdown,2018,1133,4,,0,
2018-04-30-safety-in-gridworlds.markdown,2018,1391,7,,2,ai;rl
2018-07-31-curiosity.markdown,2018,2103,7,,5,review;science;history;philosophy;progress
2018-07-31-why-moral-theory.markdown,2018,749,6,,0,
2018-08-21-heretics.markdown,2018,2149,6,,2,rationality;philosophy
2018-08-21-letter-mafoo.markdown,2018,750,,,0,
2018-08-21-original-affluence.markdown,2020,1548,7,,2,social-science;myths
2018-08-27-browser-hardening.markdown,2018,2724,5,,4,long-content;computers;self-help;lists
2018-08-31-bad-introspections.markdown,2019,1364,5,,0,
2018-08-31-cause-prioritisation.markdown,2019,381,10,,0,
2018-08-31-consent-as-evidence.markdown,2018,1098,8,,0,
2018-08-31-hume-name.markdown,2018,3063,3,,3,philosophy;history;lists
2018-08-31-of-broadness-and-rank.markdown,2018,1435,4,,0,
2018-08-31-stranger.markdown,2018,1940,9,,3,ethics;effective-altruism;meaning
2018-08-31-xrisk-as-attractor.markdown,2018,1914,10,7,3,longtermism;philosophy;xrisk
2018-08-31why-be-technical.markdown,2018,345,8,,0,
2018-10-26-blindsight.markdown,2018,1675,8,,4,philosophy;science;review;meaning
2018-12-12-homicide.markdown,2018,1244,5,,2,review;goodhart
2019-01-02-anaesthetatron.markdown,2014,277,6,,2,meaning;ethics-of-belief
2019-01-02-insurance-scam.markdown,2019,2548,5,,3,utility;rationality;finance
2019-01-02-perelman.markdown,2019,1313,,,5,bio;maths;ethics;review;greats
2019-01-02-worldview-in-five-books.markdown,2019,925,9,,4,self-representation;lists;philosophy;becoming
2019-01-05-gould.markdown,2019,948,5,,0,
2019-02-02-data-mistake.markdown,2019,203,,,0,
2019-02-02-important-technical-analogies.markdown,2019,47,,,0,
2019-03-02-ficciones.markdown,2019,1005,3,,0,
2019-04-13-waking-up-harris.markdown,2019,2089,5,,0,
2019-04-13-yoga.markdown,2019,708,4,,1,hypothesis-dump
2019-05-02-scarcity.markdown,2019,1722,7,,0,
